,de,ch_dialect
15362,Stefanie Pauli Bei grösseren Lücken im beruflichen Lebenslauf läuft die Wiedereingliederung oft besonders zäh.,Bi grössera Lucka im bruaflicha Lebenslauf lauft d Wiederiigliederig oft bsunders zäh.
5344,"Schau, jetzt streitet er mit einem anderen Mönch.","Lueg, iz schtrittet är miteme angerä Mönch."
10637,Mit Hudson drehte sie 1961 und 1964 die sehr erfolgreichen Nachfolger Ein Pyjama für zwei und Schick mir keine Blumen.,Mit am Hudson het sie 1961 und 1964 dia sehr erfolgriicha Nochfolger Ein Pyjama für zwei und Schick mir keine Blumen dreht.
24964,El Greco malte viele religiöse Bilder und Porträts aus.,Dr El Greco het vieli religiösi Bilder und Porträts usgmolt.
999,Als Studienrat am humanistischen Gymnasium unterrichtete er Religion und Hebräisch.,Als Studierot am humanistische Gymnasium het er Religion und Hebräisch unterrichted.
1724,So wie du aus der Stadt gingst und dich den Söldnern schamlos in die Arme warfst.,So wie du us de Stadt ggange bisch und di de Söldner schamlos id Arme gworfe hesch.
8496,Sie bittet sehr indirekt und vorsichtig Mortimer um den Mord an Maria.,Sie bitter sehr indirekt und vorsichtig dr Mortimer um da Mord an dr Maria.
30879,Der Asphalt war hart und uneben.,De Asphalt esch hert ond holprig gsi.
29199,"Die alte Tradition hat zum Sinn, die bösen Geister zu vertreiben.","Di alti Tradition hed de Sinn, di böse Geister z vertriibe."
26755,"Medizin, Pharmazie und Biotechnologie sind wichtige Schwerpunkte der Universität.","Medizin, Pharmazie ond Biotechnologie send wechtigi Schwerpönkt fode Universität."
16434,"Wieder erholt, ging man am Abend auf der Harzburg zum gemütlichen Teil über.",Wider erholt isch mer am Abig ufde Harzburg zum gmüetliche Teil übergange.
9694,"Lass mich in Ruhe, du Lump!","Lohn mi in Ruah, du Koga!"
1532,Schon lieber im Hintergrund.,Scho lieber im Hintergrund.
22365,Die Junioren auf dem Fussballplatz fielen dauernd hin.,D'Junioru ufum Füessballplatz sind züe kit.
9318,Er überschritt damit zugleich die Grenze und eröffnete den Angriff auf Russland.,Er het drmit glichziitig d Grenza überschritta und dr Agriff uf Russland eröffnet.
21124,Professionelle Agenturen arbeiten heutzutage bei Bedarf immer noch mit Papier und Bleistift.,Professionelli Agenture schaffunt hizutagsch bi Bedarf immer nu mit Papier und Bliistift.
14430,Und die Ergebnisse der Schweizer Unternehmen fielen auch nicht so schlecht aus.,Und d Ergebnis vu da Schwizer Unternehma sind au nit so schlecht usgfalla.
27998,Der schleppt den ganzen Tag ein Baby durch die Gegend.,De het de ganzi Tag es Baby dor d'Gägend gschleppt.
4233,Ist das realistisch?,Isch das realistisch?
6162,Neue invasive Muscheln wurden damit schon frühzeitig aufgespürt.,Neui invasivi Muschla sind drmit scho früahzitig ufgspüart worda.
20971,"Silber wurde immer teurer, Gold immer billiger.","Silber isch immer tiirer cho, Gold immer billiger."
102,"In Äthiopien würde man sich bei Augenkontakt grüssen, auch wenn man sich nicht kenne.","In Äthiopie würme sich bi Augekontakt grüesse, au wenn me sich nöd wür kenne."
5046,"Sprecher betonten, es gehe nicht darum, Schuldige zu benennen, sondern Aufklärung voranzubringen.","Schprächer betoonä, es göngi nid drum, Schuudigi z benennä, sondern d Ufklärig vorazbringä."
19334,Doch anders als Lugano haben die Lausanner die Playoff-Quali in den eigenen Händen.,Aber andersch als Lugano händ d Lausanner d Playoff-Quali ide Händ.
8810,Seinen Namen erhielt er wegen der Ähnlichkeit zum Echten Pfifferling.,Sin Nama het er weg dr Ähnlichkeit zum Echta Pfifferling kriagt.
9902,"Gibbons sind streng territorial, das Revier eines Paares ist zwischen 25 und 50 ha groß.","Gibbons sind streng Territorial, ds Reviar vunem Paar isch zwüscha 25 und 50 Hektara gross."
12452,Sozialausgaben und auf eine harte Linie in der Ausländerpolitik.,Sozialusgaba und uf a harti Linia in dr Usländerpolitik.
9996,"Nach seinem Studium heiratet er jedoch Tonya, die Tochter seiner Pflegeeltern, und hat später einen Sohn mit ihr.","Noch sinem Studium hürotet er aber d Tonya, d Tocher vu sina Pflegeeltera, und het spöter an Sohn mit ihra."
14374,"Oder die adeligen Speichellecker, was Hammer nun weiss Gott nicht ist.","Oder dia adliga Speichellecker, was dr Hammer jetzt weiss Gott nit isch."
13689,"Die Stadt Zürich erstellt einen Masterplan Stadtklima, um auf heissere Sommer vorbereitet zu sein.","D Stadt Züri erstellt an Masterplan Stadtklima, zum uf heisseri Summer vorbereitet z sii."
30307,"Im ganzen Kanton Aargau wird momentan untersucht, welche Auswirkungen Tempo 30 auf Kantonsstrassen hätte.","Em ganze Kanton Aargau werd momentan ondersuecht, was för Uswerkige Tempo 30 uf Kantonsstrosse hätt."
15535,Da stand er als Jugendlicher hinter der Theke und verkaufte Brötchen.,Do isch er als Jugendlicha hinter dr Theka gstanda und het Brötli verkauft.
11604,"Es ging so weit, dass man mir bei den Lohnverhandlungen beschied, mehr könne man mir nicht bieten.","Es isch so wiit ganga, dass ma miar bi da Lohnverhandliga beschieda het, meh könn ma miar nit büta."
16377,Je nach Einrichtung und Arbeit kommen Gelder von der Kranken- oder Pflegekasse.,Je nach Ihrichtig und Arbet chömed Gälder vode Chranke- und Pflägekasse.
28061,Jetzt sitze ich zum letzten Mal.,Jetzt setzi zom letschte Mol.
9937,"Da man sich jedoch auch daran die Finger verbrennen konnte, orderte man Schalen mit Haltegriff.","Do ma sich jedoch au dra d Finger verbrenna het könna, het ma Schala mit Haltegriff gorderet."
29702,"Weshalb finden 2018 und 2019 immer mehr Stimmberechtigte, dass die Politik die Dinge nicht mehr so recht im Griff habe?",Wieso fended 2018 ond 2019 emmer meh Stemmberächtigti dass d Politik d Sache nömme so rächt em Greff hed?
20029,Ziel der Netiquette ist eine möglichst für alle Teilnehmer angenehme Art der Kommunikation.,Ziel vaner Netiquette isch en meglichscht fer alli Teilnähmer agnähmi Art vaner Kommunikation.
12805,Das geschlossene Bündnis wird im selben Jahr durch den Frieden von Dresden hinfällig.,Ds gschlossna Bündnis wird im glicha Johr dur dr Frieda vu Dresda hiifällig.
4367,In der Weltrangliste fiel er zwischenzeitlich bis auf Rang 263 zurück.,Ir Wäutranglischtä ischer zwüschäzitlech bis uf Rang 263 zrügggheit.
23526,In der Schweiz werden pro Jahr 4000 Tonnen Medikamente entsorgt.,In dr Schwiiz wärde pro Joor 4000 Tonne Medikamänt entsorgt.
13178,"Dort, auf dem Platz, ist Müller dafür immer mit hundert Prozent dabei.","Döt, uffem Platz, isch dr Müller drfür immer mit hunder Prozent drbii."
16838,Am Freitagmorgen begann das Spital seine Computer auszuschalten.,"Am Fritigmorge hät s Spital ahgfange, sini Computer abzstelle."
29552,"Die Bevölkerung des Kosovos soll selber bestimmen, wie sie die Probleme ihres Landes lösen will.","D Bevölkerig vom Kosovo sell sälber bestemme, wie sie d PRoblem vo ehrem Land wennd löse."
4537,Es bleibt warm mit 22 Grad in Freiburg und 24 Grad in Brig.,Es blibt warm bi 22 Grad in Freiburg und 24 Grad in Brig.
24809,Weshalb ist diese Parallele zwischen Gott und dem Internet so prominent?,Worum isch die Parallele zwüsche Gott und en Internet so prominänt?
15318,Die Nationalbank will eine Stärkung des Frankens verhindern.,D Nationalbank will a Stärkig vum Franka verhindera.
26036,Ansonsten zählt der US-Präsident in seiner Rede die Erfolge seiner Regierung auf.,Söscht zählt de US-Präsidänt e sine Rede d'Erfolg fo sinere Regierig uf.
29263,"Sie speichert auch weiße Blutkörperchen und Blutplättchen, welche sie ausschütten kann.","Sie speicheret vell wissi Bluetkörperli ond Bluetplättli, wo si chan usschötte."
30526,"Als sie sie erneut einholen, rammen sie ihr gestohlenes Fahrzeug mehrfach mit voller Wucht.","Wo si si weder iholed, rammed si ehres gstolnige Fahrzüg mehrfach met voller Wocht."
10108,"Mit Anthony Quinn drehte Tyrone Power auch Der Seeräuber, bei dem erneut George Sanders mitwirkte.","Mit am Anthony Quinn het dr Tyrone Power au Der Seeräuber dreht, bi dem erneut dr George Sanders mitgwirkt het."
5456,"«Die Parlamentarier werden sich bestimmt auch auf die deutschen Vorschläge beziehen», glaubt SRF-Klimaexperte Klaus Ammann.","""D Parlamentarien werden sich sicher au uf dia dütscha Vorschläg bezücha"", glaubt dr SRF-Klimaexpert Klaus Ammann."
3612,"Um zu vermeiden, dass vielleicht einzelne Meldungen oder Warnhinweise im Gespräch mit den Patientinnen versandeten.","Um z vermidä, dass vilech einzelni Mäudigä oder Warnhiwiisä im Gschpräch mit dä Patiäntinnä versandä."
25486,"Und das sei eben ein Zeichen, dass die Windgeschwindigkeiten in den Alpentälern nochmals zunehmen würden.","Ond das esch ebe es Zeiche, dass d'Wendgschwendigkeit ede Alpe nomol zuenäh werd."
12584,"Boochani, der Journalist, wird zum Chronisten der Unmenschlichkeit.","Boochani, dr Journalist, wird zum Chronist vu dr Unmenschlichkeit."
2006,"Holz ist ein vertrautes Material und auch eines, das schön altern kann.","Holz isch e votrauts Material und au eis, wo schön älter werde cha."
12697,"Der Journalist Martin Fritz erklärt, weshalb keine Besserung in Sicht ist.","Dr Journalist Martin Fritz erklärt, warum kei Besserig in Sicht isch."
18889,Es gab ein paar schwere Übungen bei den Hausaufgaben.,Es hät es paar schwirigi Üebige geh bide Ufzgi.
18699,Parteien und Politiker fordern Massnahmen gegen die Klimaerwärmung.,Parteiä und Politiker fordered Massnahme gäge d Klimaerwärmig.
23749,Isabels Vater stammt aus Ghana und liefert der Geschichte den wichtigen afrikanischen Handlungsstrang.,Dr Isabel ihre Vater stammt us Ghana und lieferet dr Gschicht en wichtige afrikanische Tatedrang.
21210,Somit ist der Weg frei für Fronten vom Atlantik.,So isch der Wäg frii fer Fronte vam Atlantik.
4629,"Die Politik in den USA, aber auch in Europa hat Bedenken wegen Geldwäscherei-Risiken.","D Politik idä USA, aber o in Europa het Bedänkä wägä Gäudwöscherei-Risikä."
22803,Also habe ich gepfuscht.,Also hani bschisse.
8019,"Es war, als hätte man ein Denkmal vom Sockel geschubst.","Es isch gsi, als hetti ma es Denkmol vum Sockel gschupft."
29290,Sie wurde zur Zufluchtsstätte für in deutschen und europäischen Ländern bedrückte Gläubige.,Sie esch zode Zueflochtsstätt  för bedröckti Gläubigi en dütsche ond europäische Länder worde.
26333,Es bestünde weiterhin ein «moderates Risiko» für die Bevölkerung.,"Es bestöche wieterhen es ""moderats Risiko"" för d'Bevölkerig."
12672,"Anson Chanehemalige Verwaltungschefin Doch was hält sie vom Vorwurf der chinesischen Seite, dass ausländische Mächte China schaden wollten?","Anson Chan ehemoligi Verwaltigschefin. Aber was haltet sie vum Vorwurf vur chinesischa Sita, dass usländischi Mächt China schada wenn?"
6105,Nach ein paar Schnitten konnte sich das Mädchen befreien.,Noch a paar Schnitt het sich ds Meitli könna befreia.
16153,In den letzten Tagen ist es immer wieder zu starken Schauern und sogar Wintergewittern gekommen.,Ide letschte Täg häts immer wider starchi Schauer und sogar Wintergwitter geh.
11072,"Nachdem ich eine Strecke Weges hinter mir hatte, stand ich einen Augenblick still, um mich zu sammeln.","Nochdem i a Strecki vum Weg hinter miar kah han, bin i an Augablick stillgstanda, zum mi sammla."
5351,"Erzwinge keine Entscheidung, bevor du bereit bist.","Erzwing ke Entscheidig, bevor du bereit bisch."
25849,"Nach der Aufnahme von Saccharose kommt es zu Bauchschmerzen, Krämpfen, Durchfall und Erbrechen.","Nach de Ufnahm fo Sacchare chonnts zo Buchweh, Chrämpf, Dorchfall ond Erbräche."
12201,Eine Woche später in Sofia konnte er dann sogar den Titel gewinnen.,A Wucha spöter in Sofia het er denn sogar dr Titel könna gwünna.
17640,Die zwei Autos sind auf der Autostrasse zusammengestossen und es hat laut geknallt.,Di zwei Autos sind uf de Autostrass zämetütscht und es hät lut tätscht.
26326,"Dass Pfefferminz, Ringelblumen oder Lavendel bei gewissen Beschwerden helfen können ist bekannt.","Dass Pfäffermönz, d'Rengelblueme oder Lavändel be gwlsse Besechwärde hälfe chönne esch bekannt."
147,Die Tiefe der Fensterbank kann von Gebäude zu Gebäude variieren.,dTüüfi vo de Fensterbank cha vo Gebäude zu Gebäude variiere.
25128,Noch nie hatte ich so wenig lust auf dich wie heute.,No nie hani so wenig Lust uf di kah wie hüte.
25647,"Nun wird in einem politischen Vorstoss verlangt, dass der Bundesrat einen Bericht über die Gesundheit von Schwulen und Lesben erstellt.","Jetzt werd emene politische Vorstoss verlangt, dass de Bondesrot e Brecht öber d'Gsondheit fo Schwule ond Lesbe erstellt."
25656,Strebepfeiler und Gewölberippen deuten auf den spätgotischen Stil hin.,Strebepfeiler ond Gewölbetreppe düte ofe spätgotisch Still he.
24878,Highlight der Ausstellung sind die Sensen.,Highlight vo dr Usstellig sind d Sense.
25225,Ich schaue mir das im Auto an.,Ich ha mir s Auto ahgluegt
15824,"Er kennt die Bar dreckig und sauber, nüchtern und betrunken, morgens und abends, als Gast und als Mitarbeiter.","Er kennt d Bar dreckig und suber, nüachter und betrunka, am morga und am obig, als Gast und als Mitarbeiter."
6840,Die UNO ruft in Genf seine Mitgliedsländer zu Spenden auf.,D UNO rüaft in Genf sini Mitgliedländer zu Spenda uuf.
3164,Fahrrad- und Wanderwege verlaufen um den gesamten Stausee.,Velo- und Wanderwägä verloufä umä ganz Schtousee.
5084,Ich improvisiere dieses Stück gerade nach meiner Laune.,Ig improvisiere das Schtück grad nach mirä Luunä.
22109,Andere nennen sie die Kalaschnikow der Lüfte.,Andri nännunt schi die Kalaschnikow vaner Luft.
23943,Nach dem Januar folgen mit Februar und März ein wenig wärmere Zeiten.,Noch em Januar folge mit em Februar und März e chli wärmeri Ziite.
15503,Die Anordnung gilt für ganzjährige Betriebe und derzeit nicht für Sömmerungsweiden.,D Aaordnig gilt für ganzjöhrigi Betrieb und derziit nit für Summerigsweida.
29601,Vor allem die mächtigen Milizen in Misrata halten Haftar für einen Putschisten.,Vorallem di mächtige Milize en Misrata gsänd em Haftar en Putschest.
17053,Und am Wochenende gibt es dann auch einen Temperatursturz.,Und am Wuchenänd gits dänn en Temperatursturz.
10679,Nach Kriegsende wurde das Gebiet wieder unter belgische Hoheit gestellt.,Noch Kriagsend isch ds Gebiat wieder unter belgischi Hoheit gstellt worda.
20556,"Müssen Kleinsparer also bald bezahlen, wenn sie Geld bei einer Bank parkieren wollen?","Miessunt Chleisparer also bald zahlu, wenn schi Gäld bi ra Bank wellunt parkieru?"
5992,Das Strafrecht ist immer nur das letzte Mittel.,Ds Strofrecht isch immer nur ds letschta Mittel.
2137,"Er wird, wie ich, als ich in die Schweiz kam, eine Helvetisierung durchlaufen müssen.","Er wird, wieni, woni id Schwiiz cho bi, e Helvetisierig duremache müesse."
598,Die 36-jährige Greta Gysin zieht ins Parlament ein.,Die 36-jöhrigi Greta Gysin zieht is Parlament ii.
28733,In dieser Hinsicht ist Chile das Schlusslicht in Lateinamerika.,I dere Hisecht esch Chile s Schlossliecht en Latinamerika.
22647,"Wenn du dir Einlaß erzwingst, ist zwischen uns alles aus.","Wenn dü dier Ihlass erzwingsch, isch zwischu iisch alls verbi."
29085,Um die Software braucht man sich ebenfalls keine Sorgen zu machen.,Om d Software mues mer sech au kei Sorge mache.
9263,"Zwischen 2003 und 2007 waren die Utilities integraler Bestandteil der Norton SystemWorks, zu denen auch Norton AntiVirus gehörte.","Zwüschet 2003 und 2007 sind d Utilities integrala Bestandteil vur Norton SystemWorks gsi, zu welnna au Norton AntiVirus ghört het."
18168,Dann drehe sich für ihn die Zeit zurück.,Dänn hät sich für ihn d Zit zruggdreht.
3538,In der Schweiz werden pro Jahr 4000 Tonnen Medikamente entsorgt.,Ir Schwiz wärdä pro jahr 4000 Tonnä Medikamänt entsorgt.
24281,"Er kennt die knorrigen Arven, die dunklen Höhlen, die kargen Bergflanken, die Steinadler und die Gämsen.","Är kennt die knorrige Arve, die dunkle Höhle, die karge Bärgflanke, d Steiadler und d Gämse."
20318,Er wurde dieses Mal insgesamt Siebter.,Är isch dischers Mal insgsamt Siebte cho.
20733,"So gibt es mehrere sogenannte Hexentiere: schwarze Katzen, Kröten, Eulen und eben Raben oder Krähen.","So gits mehreri sognännti Häxutieri: schwarzi Chatze, Kröte, Üle und äbu Rabe oder Kräje."
13410,"Die Feuerwehr legte am Donnerstag ein Gebiet fest, aus dem Menschen raus sollen, die dort keinen festen Wohnsitz haben.","D Fürwehr het am Donnstig as Gebiat festgleit, us wellem Menscha ussa söllen, wo döt kei festa Wohnsitz hen."
6473,Die Grenze des Übungsplatzes verlief unmittelbar am nördlichen Fuß des Berges.,D Grenza vum Üabigsplatz isch unmittelbar am nördlicha Fuass vum Berg verloffa.
8933,"Fortgeschrittene Bowler geben dem Ball eine seitliche Rotation, wodurch er einen Bogen läuft oder einen Haken schlägt.","Fortgschrittni Bowler geben am Ball a siitlichi Rotation, wodura er an Boga lauft oder an Hoka schloht."
2359,"Als sie sie erneut einholen, rammen sie ihr gestohlenes Fahrzeug mehrfach mit voller Wucht.","Wo si si nomol inegholt hend, rammed si ihres gstohlene Auto mehrfach mit voller Wucht."
20172,Viele Verkäufer haben von Botanik wenig Ahnung.,Vill Verchöifer hent va Botanik wenig Ahnig.
3490,"Und schliesslich kommt das Wasser zurück, das von den neu belebten Böden wieder gespeichert werden kann.","Und schliesslech chunnt s Wasser zrügg, wo vodä nöi beläbtä Bödä wider cha gschpicheret wärdä."
3644,Für Bluetooth-Kopfhörer ein überaus guter Wert.,Für Bluetooth-Chopfhörer ä überus guetä Wärt.
29256,"Erkennungsmerkmal ist die Ausbuchtung an der Front der Motorhaube, unter der der Ladeluftkühler sitzt.","S Erkennigsmerkmol esch d Usbochtig ade Front vode Motorhube, onder dere esch de Ladeloftchüehler."
19833,"Viele Liedermacher machen auch heute noch Lieder für ""singende Kinder"" und Kinderchöre.","Vill Liedermacher mached au hüt no Lieder für ""singendi Chind"" und Chinderchör."
26016,Ich bin happy hier.,Ich ben happy do.
3060,"Dank Weiterbildung hofft er, demnächst eine bessere Anstellung als Elektriker zu erhalten.","Dank Weiterbiudig hoffter, demnächscht ä besseri Aaschtellig aus Elektriker z becho."
24043,Inzwischen hat das deutsche Auswärtige Amt beim türkischen Botschafter sowie beim Aussenminister in der Sache protestiert.,Inzwüsche het s dütsche Uswärtige Amt bim türkische Botschafter sowie bim Usseminister in dr Sach protestiert.
11664,"Der Fall des Hasspredigers von Biel, der über 600 000 Franken Sozialhilfe erhalten hat, ist sattsam bekannt.","Dr Fall vum Hassprediger vu Biel, wo über 600 000 Franka Sozialhilf kriagt het, isch sattsam bekannt."
6496,"Seine Komposition sollte andere, weniger populäre Komponisten dazu animieren, an dieser Etablierung mitzuwirken.","Sini Kompsition sött anderi, weniger popiuläri Komponista drzua animiara, an dera Etabliarig mitzwirka."
7928,Sam rieb sich die Nase.,Dr Sam het sich dNasa grieba.
4447,"Ich wühle mich währenddessen durch die alten Akten und gucke, ob sich da nicht etwas finden lässt.","I wüelemi währenddessä dür die autä Aktä und luege, obsech dä nid öpis lat la fingä."
5434,"Ich verstehe garnicht, warum Ihr euch so viel Sorgen macht, meldete sich Pog von einem Dachsparren.","I verschta gar nid, wiso dir öich so viu Sorgä machet, hetsech dr Pog vomene Dachschparrä gmäudet."
9260,aus 122 Nationen entzündete der Jugendsportler Günter Zahn das Olympische Feuer über den Rängen der Osttribüne.,us 122 Nota het dr Jugendsportler Günter Zahn ds Olympischa Für über da Räng vur Osttribüna entzündet.
4281,"Nun hat sie es in der Hand, die Lehren daraus zu ziehen, beziehungsweise die Empfehlungen umzusetzen.","Iz het sis ir Hand, d Lehrä drus z zieh, beziehigswiis d Empfähligä umzsetzä."
22999,"Der Rektor der Wirtschaftsschule KV Baden, Jörg Pfister, gibt sich gelassen.","Dr Rektor vo dr Wirtschaftsschuel KV Bade, dr Jörg Pfister, git sich glasse."
8808,Der Wagen wird von normalerweise zwei Pferden gezogen.,Dr Waga wird vu normalerwiis zwei Pferd zoga.
5593,Der Kapitän ist darüber erbost und fordert Conrad zu einem entscheidenden Kartenspiel auf.,Dr Kapitän isch varruckt und forderet dr Conrad zunem entscheidenda Kartaspeil uuf.
15161,"Jeder zweite Zahnarztstuhl, der untersucht wurde, hat im Kühlwasser eine hohe Keimzahl gehabt.","Jeda zweiti Zahnarztstuahl, wo untersuacht worda isch, het im Küahlwasser a hohi Keimzahl gha."
14390,Gleichzeitig besteht ein grosser Bedarf nach funktionsfähigen Spenderlebern.,Glichzitig bestoht a grossa Bedarf noch funktionsfähiga Spenderlebera.
420,Die Fahrscheine sind im Vergleich zum Kauf am Automaten teilweise vergünstigt.,dFahrschii sind im Voglich zum Chauf am Automat teilwiis vogünschtigt.
14306,"Andererseits gibt es die Technologie, die mit deren Hilfe zum Beispiel Friedensabkommen beobachtet werden.","Anderersiits gits dia Technologie, wo mit dera Hilfa zum Bispiel Friedensabkomma beobachtet werden."
2606,Wilson sieht sich eigentlich nie richtig um.,de Wilson luegt eich nie würkli ume.
23636,"Ja, es kommt zu Unregelmässigkeiten auf dem Bitcoin-Markt.","Jo, es kunnt zu Unregelmässigkeite uf em Bitcoin-Märt."
13333,Die höchste Schweizer Liga verliert ihren erfolgreichsten Klub.,Dia höchst Schwizer Liga verlürt ihra erfolgrichst Klub.
22405,"Obwohl wir sehr leise an die Tür geklopft hatten, erwachte er voller Schrecken.","Obwohl wier sehr lislig ani Porta gchlopft hei, ischer voll Schrecku verwacht."
3516,Sehr kalziumhaltig sind zum Beispiel Brokkoli und viele Kopfkohlarten.,Sehr kalziumhautig si zum Bischpiu Brokkoli und vili Chopfchouartä.
9068,In der Sommerzeit verwandeln weiße Sonnenschirme die Straße in eine mondäne Zeltstadt.,Ir Summerziit verwandlen wissi Sunnaschirm d Stross in a mondäni Weltstadt.
10594,"Als die wartende Braut die Nachricht von diesem Verbrechen erhielt, starb sie infolge des Schocks auf der Stelle.","Wo dia wartend Bruut d Nochricht vu dem Verbrecha kriagt het, isch sie infolg vunem Schock uf dr Stell gstorba."
29850,Schafft die Schweiz den Halbfinal-Einzug?,Schaffts d Schwiiz is Halbfinal?
4676,"So fliesst ein Teil der Einnahmen an der Mehrwertsteuer direkt in die AHV, das ist in der Bundesverfassung so festgelegt.","So fliesst ä Teil vodä Iinahmä ar Mehrwärtsschtüür diräkt id AHV, das isch ir Bundesverfassig so feschtgleit."
23792,"Der Abakus ist mit Masken verziert, die Rankenwerk ausspucken.","Dr Abakus isch mit Maske verziert, wo Rankewärk usspucke."
19349,Der Davoser Captain Andres Ambühl setzte eine imposante Serie fort.,De Davoser Captain Andres Ambühl hät e imposanti Serie witergfüert.
1857,Am Dienstag teilweise neblig.,Am Zischtig teilwiss neblig.
23734,Bei dieser Gelegenheit gab er seinem Fürstentum erstmals eine Verfassung.,Bi däre Glegeheit het är sim Fürstetum zum erste Mol ae Verfassig gaeh.
12840,"Der Pascha setzt 20 Serben als Fürsten ein, um den Forderungen der Aufständischen entgegenzukommen.","Dr Pascha setzt 20 Serba als Fürsta i, zum da Forderiga vu da Ufständischa entgegazkoh."
22178,"Wenn man sich die regionalen Muster ansehe, dann falle allein Solothurn mit dem höchsten Nein-Anteil auf.","Wenn mu schi di regionalu Muschter ahlüege, de falle elei scho Solothuru mit dum hegschtu Nei-Ahteil üf."
30407,"Der Nis Puk schrie ihn laut an und schwor, sich zu rächen.","De Nis Puk het ne luut agschroue ond gschwore, sich z räche."
24970,Zugtiere hatten sich nach ihrer Pause auf Sardinien vollständig ausgeruht.,D Zugtier händ sich nach ihrer Pause in Sardinie vollständig ugsrueht kah.
27717,Du ruhst dich ausgerechnet jetzt aus obwohl wir gerade aufbrechen wollen.,"Du ruesch dech usgrechnet jetzt us, obwohl mer jetzt grad händ welle goh?"
9237,Mit seinen enormen Ausmaßen erschien das Bauwerk viel zu groß geraten für die damalige kleine Kirchengemeinde.,Mit sina enorma Usmass isch z Bauwerk viel z gross grota erschiena für dia damalig klini Kirchagmeind.
22182,Warum wäre ein Museum mit Maschinen nicht mehr zeitgemäss?,Warum wäri es Museum mit Maschine nimme zitgmäss?
11631,"Sie haben in einem Interview gesagt, es seien keine anderen Vorschläge eingebracht worden.","Sie hen inem Interview gseit, es sigen kei anderi Vorschläg ibrocht worda."
22339,Dem Ruf des Herrn gehorche ich in Demut und Ergebung.,Dum Rüef vam Herr han ich in Demüet und Ergäbig gfolgut.
13165,Im Moment fühle ich mich sehr wohl in Basel und ich konzentriere mich voll auf die Saison mit dem FCB.,Im Moment fühl i mi sehr wohl in Basel und i konzentriara mi voll uf d Saison mit am FCB.
15675,Gemäss der Lehrmeinung wird Gott mich bestrafen.,Gemäss dr Lehrmeinig wird Gott mi bestrofa.
2493,"Er atmete schwer, als wäre er bergauf gerannt.","Er het schwer gschnuufed, als ob er berguf grennt wer."
15196,In Deutschland wird Telenotfallmedizin in verschiedenen Regionen auch in Krankenwagen eingesetzt.,IDütschland wird Telenotfallmedizin in verschiedna Regiona au in Krankawäga igsetzt.
4846,"Luzern, Obwalden, Zug, Schwyz und Uri liegen ebenfalls weit vorne.","Luzärn, Obwaudä, Zug, Schwyz und Uri ligä äbäfaus wit vornä."
7730,"Aufgrund dieses Interessenkonflikts beschuldigen sie mich, interne Polizeiakten zugunsten seiner Mandanten verwendet zu haben.","Ufgrund vu dem Interessakonflikt hend sie mi beschuldigt, interni Polizeiakta zugunsta vu sinera Mandantin verwendet zhaa."
1761,Die zwei Autos sind auf der Autostrasse zusammengestossen und es hat laut geknallt.,Di zwei Autos sind uf de Autostross zemmegstosse und es het luut knallt.
780,"Dass sich Jungtiere quasi in Kindergärten versammeln, ist auch in der Natur so.","Dass sich Jungtier quasi im Chindergarte vosamled, isch au i de Natur so."
7900,"Eine Kugel schlug dicht neben ihm in den Pfosten eines Vorbau Daches, die andere verfehlte ihn weit.","A Kugla isch dicht neb ihm in da Pfosta vunem Vorbau Dach iigschlaga, dia ander het ihn wiit verfehlt."
10716,So sind die Scheunen was die Baumaterialien angeht zumeist einfacher gebaut als die übrigen Gebäude von Höfen.,So sind dia Schüüna was d Baumaterialia agoht meistens eifacher baut als dia übriga Gebäude vum Hof.
5634,"Die Landwirtschaft produziert Gemüse, Obst, Fleisch und Milch für unseren täglichen Bedarf.","D Landwirtschaft produziart Gmüas, Obst, Fleisch, und Milch für üssara täglichi Bedarf."
28770,Trudi Gerster war wie Greta Thunberg.,S Trudi Gerster esch wie d Greta Thunberg gsi.
9447,"In der Westschweiz, im Wallis, in der Mitte und im Süden von Graubünden sowie im Tessin fehlt vorerst noch flächendeckender Regen.","In dr Westschwiiz, im Wallis, in dr Mitti und im Süda vu Graubünda sowia im Tessin fehlt vorerst no flächadeckenda Rega."
25217,"Sie hat sich geschämt, weil sie sich von einem Fremden hat schwängern lassen.","Si het sich gschämt, will si sich vo me Fremde het lo schwängere."
7146,Und es wartet niemand auf dich.,Und es wartet niamert uf di.
29174,Eine Antwort wurde nicht bekannt.,En Antwort esch ned bekannt worde.
20384,"Allerdings tat er dies direkt nur, wenn er Erfreuliches zu vermelden hatte.","Allerdings heder das nur diräkt gmacht, wenn är Erfreulichs z'vermäldu het ka."
17374,Verloren hat die SVP und ist in der Waadt zur viertgrössten Partei abgerutscht.,D SVP hät verlore und isch in Waadt zude viertgrösste Partei abegrutscht.
28672,In Zürich heißt das Frühlingsfest Sechseläuten.,En Zöri heisst s Früehligsfäst Sächsilüüte.
2575,"Es war, als hätte man ein Denkmal vom Sockel geschubst.","Es isch gsi, als ob me es Denkmol vom Sockel gschubst het."
3485,Diese Arten seien gegenüber Trockenheit und Wärme widerstandsfähiger.,Die Artä sigä gägenüber Trochäheit und Wermi widerschtandsfähiger.
